course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
NUR 202,Introduction to Genetics & Molecular Therapeutics,1L,6,3.17,0.41,3.0,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Assem Zhakupova
NUR 212/L,Foundations of Nursing Practice II,1L,6,3.56,0.45,3.67,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Paolo Colet
NUR 212/L,Foundations of Nursing Practice II,1L,6,3.56,0.45,3.67,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Nancy Stitt
NUR 212/L,Foundations of Nursing Practice II,1L,6,3.56,0.45,3.67,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Joseph Almazan
NUR 213/C,Medical-Surgical Nursing I: Clinical,1ClinPract,6,3.61,0.25,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Paolo Colet
NUR 213/C,Medical-Surgical Nursing I: Clinical,1ClinPract,6,3.61,0.25,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Nancy Stitt
NUR 213/C,Medical-Surgical Nursing I: Clinical,1ClinPract,6,3.61,0.25,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Joseph Almazan
NUR 305,Research Methods for Nursing,1L,35,3.45,0.37,3.33,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Nancy Stitt
NUR 305,Research Methods for Nursing,1L,35,3.45,0.37,3.33,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Yesbolat Sakko
NUR 306,Medical-Surgical Nursing: Complex Medical Management for Acute and Chronic Patient,1L,35,3.39,0.34,3.33,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Nancy Stitt
NUR 306,Medical-Surgical Nursing: Complex Medical Management for Acute and Chronic Patient,1L,35,3.39,0.34,3.33,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Joseph Almazan
NUR 307,Health Promotion and Disease Prevention in Culturally Diverse Populations,1L,35,3.44,0.4,3.33,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,TBA TBA
NUR 307,Health Promotion and Disease Prevention in Culturally Diverse Populations,1L,35,3.44,0.4,3.33,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Paolo Colet
NUR 307,Health Promotion and Disease Prevention in Culturally Diverse Populations,1L,35,3.44,0.4,3.33,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Nancy Stitt
NUR 308,Enhanced Communication in Professional Nursing,1L,35,3.09,0.38,3.0,14.3,77.1,8.6,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,TBA TBA
NUR 308,Enhanced Communication in Professional Nursing,1L,35,3.09,0.38,3.0,14.3,77.1,8.6,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Nancy Stitt
NUR 308,Enhanced Communication in Professional Nursing,1L,35,3.09,0.38,3.0,14.3,77.1,8.6,0.0,0.0,0.0,0.0,0.0,0.0,35,SP2025,Anargul Kuntuganova
NUR 322,Nursing Clinical Informatics,1L,6,3.94,0.13,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Nancy Stitt
NUR 402,Principles of Healthcare Administration,1L,25,2.69,0.42,2.67,0.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,TBA TBA
NUR 402,Principles of Healthcare Administration,1L,25,2.69,0.42,2.67,0.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,Nancy Stitt
NUR 402,Principles of Healthcare Administration,1L,25,2.69,0.42,2.67,0.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,Anargul Kuntuganova
NUR 405,Issues and Trends in Nursing,1L,25,3.47,0.32,3.67,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,TBA TBA
NUR 405,Issues and Trends in Nursing,1L,25,3.47,0.32,3.67,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,Paolo Colet
NUR 405,Issues and Trends in Nursing,1L,25,3.47,0.32,3.67,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,Nancy Stitt
NUR 405,Issues and Trends in Nursing,1L,25,3.47,0.32,3.67,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,Anargul Kuntuganova
NUR 415C,Clinical Transitions,1ClinPract,12,3.61,0.28,3.67,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Nancy Stitt
NUR 415C,Clinical Transitions,1ClinPract,12,3.61,0.28,3.67,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Jonas Cruz
NUR 422,Capstone II: Evidence-Based Quality Improvement/Research Project Completion,1L,12,3.34,0.49,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Nancy Stitt
NUR 422,Capstone II: Evidence-Based Quality Improvement/Research Project Completion,1L,12,3.34,0.49,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Jonas Cruz
NUSM 310,Capstone Project,1P,31,3.46,0.68,3.67,67.7,29.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,31,SP2025,Arman Saparov
NUSM 404,Cellular and Pathological Basis of Disease,1L,26,3.0,0.55,3.16,11.5,73.1,11.5,3.8,0.0,0.0,0.0,0.0,0.0,26,SP2025,Matthew Naanlep Tanko
NUSM 406,Immunology in Health and Disease,1L,26,3.12,0.7,3.33,26.9,61.5,3.8,7.7,0.0,0.0,0.0,0.0,0.0,26,SP2025,Arman Saparov
NUSM 407,Medical Microbiology,1L,26,2.65,0.84,2.84,11.5,53.8,23.1,7.7,3.8,0.0,0.0,0.0,0.0,26,SP2025,Sanja Terzic
NUSM 407,Medical Microbiology,1L,26,2.65,0.84,2.84,11.5,53.8,23.1,7.7,3.8,0.0,0.0,0.0,0.0,26,SP2025,Syed Hani Hassan Abidi
ACCT 201,Introduction to Accounting,1L,9,3.63,0.31,3.67,55.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,SP2025,Mirat Akshalov
ACCT 201,Introduction to Accounting,1L,9,3.63,0.31,3.67,55.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,SP2025,Christian Sofilkanitsch
ACCT 201,Introduction to Accounting,2L,48,3.38,0.52,3.5,48.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,50,SP2025,Mirat Akshalov
ACCT 201,Introduction to Accounting,2L,48,3.38,0.52,3.5,48.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,50,SP2025,Christian Sofilkanitsch
BUS 101,Core Course in Business,1L,581,3.52,0.48,3.67,60.5,35.2,2.7,0.0,0.3,0.0,0.0,0.0,1.2,588,SP2025,Mirat Akshalov
BUS 101,Core Course in Business,1L,581,3.52,0.48,3.67,60.5,35.2,2.7,0.0,0.3,0.0,0.0,0.0,1.2,588,SP2025,Saniya Barbolova
